ID,date,endVZA,LAI_LXG1,baseline_LAI,LAI_LXG1_nowood
LT53,2024-09-20,50,4.906666666666667,0.564516129032258,4.342150537634409
LT53,2024-09-20,60,4.394736842105263,0.5757575757575757,3.818979266347687
LT53,2024-09-20,70,3.8374999999999995,0.6176470588235293,3.21985294117647
LT53,2024-09-20,80,3.4625,0.6617647058823529,2.800735294117647
LT53,2024-09-20,90,3.05,0.6376811594202899,2.41231884057971
LT54,2024-09-20,10,5.148148148148147,0.625,4.523148148148147
LT54,2024-09-20,20,5.629032258064517,1.75,3.879032258064517
LT54,2024-09-20,30,6.014925373134329,1.7708333333333333,4.244092039800996
LT54,2024-09-20,40,5.8507462686567155,1.607142857142857,4.243603411513859
LT54,2024-09-20,50,5.183098591549296,1.4745762711864407,3.7085223203628552
LT54,2024-09-20,60,4.821917808219178,1.4666666666666668,3.355251141552511
LT54,2024-09-20,70,4.493333333333333,1.403225806451613,3.09010752688172
LT54,2024-09-20,80,4.077922077922078,1.34375,2.7341720779220777
LT54,2024-09-20,90,3.5124999999999997,1.265625,2.2468749999999997
LT52,2024-09-20,10,4.035714285714285,0.36363636363636365,3.672077922077921
LT52,2024-09-20,20,4.791666666666667,0.3666666666666667,4.425000000000001
LT52,2024-09-20,30,4.5200000000000005,0.41860465116279066,4.10139534883721
LT52,2024-09-20,40,4.1866666666666665,0.4791666666666667,3.7075
LT52,2024-09-20,50,4,0.5471698113207547,3.452830188679245
LT52,2024-09-20,60,3.8108108108108105,0.5892857142857143,3.221525096525096
LT52,2024-09-20,70,3.4605263157894735,0.6379310344827587,2.8225952813067146
LT52,2024-09-20,80,3.102564102564102,0.65,2.4525641025641023
LT52,2024-09-20,90,2.7272727272727275,0.639344262295082,2.0879284649776455
LT51,2024-09-20,10,7.063492063492064,0.5,6.563492063492064
LT51,2024-09-20,20,5.666666666666667,0.4473684210526316,5.219298245614035
LT51,2024-09-20,30,5.0144927536231885,0.4444444444444444,4.570048309178744
LT51,2024-09-20,40,4.7,0.48333333333333334,4.216666666666667
LT51,2024-09-20,50,4.514285714285715,0.5151515151515151,3.9991341991342
LT51,2024-09-20,60,4.225352112676057,0.6376811594202899,3.587670953255767
LT51,2024-09-20,70,3.9861111111111116,0.7611940298507462,3.224917081260365
LT51,2024-09-20,80,3.5270270270270268,0.8088235294117647,2.718203497615262
LT51,2024-09-20,90,3.121621621621622,0.7761194029850746,2.3455022186365473
LT63,2024-09-20,10,6,0.7083333333333334,5.291666666666667
LT63,2024-09-20,20,5.516129032258064,0.5952380952380952,4.920890937019969
LT63,2024-09-20,30,4.838235294117647,0.5555555555555555,4.282679738562091
LT63,2024-09-20,40,4.720588235294117,0.6545454545454544,4.0660427807486625
LT63,2024-09-20,50,4.352112676056338,0.7818181818181817,3.5702944942381563
LT63,2024-09-20,60,4.056338028169014,0.7894736842105264,3.2668643439584875
LT63,2024-09-20,70,3.782608695652174,0.7796610169491526,3.002947678703021
LT63,2024-09-20,80,3.4925373134328352,0.7966101694915254,2.6959271439413097
LT63,2024-09-20,90,2.9571428571428573,0.7796610169491526,2.1774818401937046
LT62,2024-09-20,10,7.717391304347825,0.35000000000000003,7.367391304347826
LT62,2024-09-20,20,5.529411764705882,0.3870967741935484,5.142314990512334
LT62,2024-09-20,30,5.693548387096774,0.33333333333333337,5.360215053763441
LT62,2024-09-20,40,4.8493150684931505,0.3548387096774194,4.4944763588157315
LT62,2024-09-20,50,4.337662337662337,0.4153846153846154,3.922277722277722
LT62,2024-09-20,60,3.7974683544303796,0.45588235294117646,3.341586001489203
LT62,2024-09-20,70,3.4250000000000003,0.5223880597014925,2.9026119402985078
LT62,2024-09-20,80,3.1923076923076925,0.5671641791044776,2.625143513203215
